shoulder_angle_cal shoulder.angle.cal
shoulder_angle_channel shoulder.angle.channel
shoulder_angle_degrees shoulder.angle.deg
shoulder_angle_rad shoulder.angle.rad
shoulder_angle_offset shoulder.angle.offset
shoulder_angle_xform shoulder.angle.xform
shoulder_torque_channel shoulder.torque.channel
shoulder_torque_offset shoulder.torque.offset
shoulder_torque_xform shoulder.torque.xform
shoulder_vel_cal shoulder.vel.cal
shoulder_vel_channel shoulder.vel.channel
shoulder_vel_offset shoulder.vel.offset
shoulder_vel_xform shoulder.vel.xform
shoulder_vel_rad shoulder.vel.rad
elbow_angle_cal elbow.angle.cal
elbow_angle_channel elbow.angle.channel
elbow_angle_degrees elbow.angle.deg
elbow_angle_rad elbow.angle.rad
elbow_angle_offset elbow.angle.offset
elbow_angle_xform elbow.angle.xform
elbow_torque_channel elbow.torque.channel
elbow_torque_offset elbow.torque.offset
elbow_torque_xform elbow.torque.xform
elbow_vel_cal elbow.vel.cal
elbow_vel_channel elbow.vel.channel
elbow_vel_offset elbow.vel.offset
elbow_vel_xform elbow.vel.xform
elbow_vel_rad elbow.vel.rad
wrist_diff_stiff wrist.diff_stiff
wrist_diff_damp wrist.diff_damp
wrist_diff_side_stiff wrist.diff_side_stiff
wrist_ps_stiff wrist.ps_stiff
wrist_ps_damp wrist.ps_damp
wrist_diff_gcomp wrist.diff_gcomp
wrist_ps_gcomp wrist.ps_gcomp
wrist_rl_pfomax wrist.rl_pfomax
wrist_rl_pfotest wrist.rl_pfotest
wrist_nocenter3d wrist.nocenter3d
wrist_ps_adap_going_up wrist.ps_adap_going_up
wrist_velmag wrist.velmag
wrist_ft_motor_force wrist.ft_motor_force
wrist_left_enc_channel wrist.left.enc_channel
wrist_left_disp wrist.left.disp
wrist_left_theta wrist.left.vel
wrist_left_torque wrist.left.torque
wrist_left_devtrq wrist.left.devtrq
wrist_left_xform wrist.left.xform
wrist_left_volts wrist.left.volts
wrist_left_test_volts wrist.left.test_volts
wrist_left_ao_channel wrist.left.ao_channel
wrist_left_csen_channel wrist.left.csen_channel
wrist_right_enc_channel wrist.right.enc_channel
wrist_right_disp wrist.right.disp
wrist_right_theta wrist.right.vel
wrist_right_torque wrist.right.torque
wrist_right_devtrq wrist.right.devtrq
wrist_right_xform wrist.right.xform
wrist_right_volts wrist.right.volts
wrist_right_test_volts wrist.right.test_volts
wrist_right_ao_channel wrist.right.ao_channel
wrist_right_csen_channel wrist.right.csen_channel
wrist_ps_enc_channel wrist.ps.enc_channel
wrist_ps_disp wrist.ps.disp
wrist_ps_theta wrist.ps.vel
wrist_ps_torque wrist.ps.torque
wrist_ps_devtrq wrist.ps.devtrq
wrist_ps_xform wrist.ps.xform
wrist_ps_volts wrist.ps.volts
wrist_ps_test_volts wrist.ps.test_volts
wrist_ps_ao_channel wrist.ps.ao_channel
wrist_ps_csen_channel wrist.ps.csen_channel
wrist_diff_gear_ratio wrist.gears.diff
wrist_ps_gear_ratio wrist.gears.ps
wrist_uei_ao_board_handle wrist.uei_ao_board_handle
have_wrist have_wrist
wrist_fe_pos wrist.pos.fe
wrist_aa_pos wrist.pos.aa
wrist_ps_pos wrist.pos.ps
wrist_fe_vel wrist.vel.fe
wrist_aa_vel wrist.vel.aa
wrist_ps_vel wrist.vel.ps
wrist_fe_fvel wrist.fvel.fe
wrist_aa_fvel wrist.fvel.aa
wrist_ps_fvel wrist.fvel.ps
wrist_fe_ctltrq wrist.torque.fe
wrist_aa_ctltrq wrist.torque.aa
wrist_ps_ctltrq wrist.torque.ps
wrist_fe_offset wrist.offset.fe
wrist_aa_offset wrist.offset.aa
wrist_ps_offset wrist.offset.ps
wrist_fe_moment_csen wrist.moment_csen.fe
wrist_fe_moment_cmd wrist.moment_cmd.fe
wrist_aa_moment_csen wrist.moment_csen.aa
wrist_aa_moment_cmd wrist.moment_cmd.aa
wrist_ps_moment_csen wrist.moment_csen.ps
wrist_ps_moment_cmd wrist.moment_cmd.ps
wrist_fe_norm wrist.norm.fe
wrist_aa_norm wrist.norm.aa
wrist_ps_norm wrist.norm.ps
wrist_fe_back wrist.back.fe
wrist_aa_back wrist.back.aa
wrist_ps_back wrist.back.ps
ankle_stiff ankle.stiff
ankle_damp ankle.damp
ankle_rl_pfomax ankle.rl_pfomax
ankle_rl_pfotest ankle.rl_pfotest
ankle_left_enc_channel ankle.left.enc_channel
ankle_left_disp ankle.left.disp
ankle_left_devtrq ankle.left.devtrq
ankle_left_xform ankle.left.xform
ankle_left_volts ankle.left.volts
ankle_left_force ankle.left.force
ankle_left_test_volts ankle.left.test_volts
ankle_left_ao_channel ankle.left.ao_channel
ankle_left_csen_channel ankle.left.csen_channel
ankle_left_rot_enc_channel ankle.left.rot_enc_channel
ankle_left_rot_disp ankle.left.rot_disp
ankle_left_rot_lin_disp ankle.left.rot_lin_disp
ankle_left_vel ankle.left.vel
ankle_left_rot_lin_vel ankle.left.rot_lin_vel
ankle_right_enc_channel ankle.right.enc_channel
ankle_right_disp ankle.right.disp
ankle_right_devtrq ankle.right.devtrq
ankle_right_xform ankle.right.xform
ankle_right_volts ankle.right.volts
ankle_right_force ankle.right.force
ankle_right_test_volts ankle.right.test_volts
ankle_right_ao_channel ankle.right.ao_channel
ankle_right_csen_channel ankle.right.csen_channel
ankle_right_rot_enc_channel ankle.right.rot_enc_channel
ankle_right_rot_disp ankle.right.rot_disp
ankle_right_rot_lin_disp ankle.right.rot_lin_disp
ankle_right_vel ankle.right.vel
ankle_right_rot_lin_vel ankle.right.rot_lin_vel
have_ankle have_ankle
ankle_dp_pos ankle.pos.dp
ankle_dp_vel ankle.vel.dp
ankle_dp_fvel ankle.fvel.dp
ankle_dp_accel ankle.accel.dp
ankle_dp_torque ankle.torque.dp
ankle_dp_moment_csen ankle.moment_csen.dp
ankle_dp_moment_cmd ankle.moment_cmd.dp
ankle_dp_offset ankle.offset.dp
ankle_dp_norm ankle.norm.dp
ankle_dp_back ankle.back.dp
ankle_ie_pos ankle.pos.ie
ankle_ie_vel ankle.vel.ie
ankle_ie_fvel ankle.fvel.ie
ankle_ie_accel ankle.accel.ie
ankle_ie_torque ankle.torque.ie
ankle_ie_moment_csen ankle.moment_csen.ie
ankle_ie_moment_cmd ankle.moment_cmd.ie
ankle_ie_offset ankle.offset.ie
ankle_ie_norm ankle.norm.ie
ankle_ie_back ankle.back.ie
ankle_accel_mag ankle.accel_mag
ankle_vel_mag ankle.vel_mag
ankle_safety_vel ankle.safety_vel
ankle_safety_accel ankle.safety_accel
ankle_trans_ratio ankle.trans.ratio
ankle_trans_lead ankle.trans.lead
ankle_ankle_ball_length ankle.trans.ankle_ball_length
ankle_ball_ball_width ankle.trans.ball_ball_width
ankle_av_actuator_length ankle.trans.av_actuator_length
ankle_av_shin_length ankle.trans.av_shin_length
ankle_enc_xform ankle.trans.enc_xform
ankle_slip_thresh ankle.trans.slip_thresh
ankle_uei_ao_board_handle ankle.uei_ao_board_handle
ankle_knee_channel ankle.knee.channel
ankle_knee_raw ankle.knee.raw
ankle_knee_xform1 ankle.knee.xform1
ankle_knee_xform2 ankle.knee.xform2
ankle_knee_bias ankle.knee.bias
ankle_knee_angle ankle.knee.angle
linear_stiff linear.stiff
linear_damp linear.damp
linear_pfomax linear.pfomax
linear_pfotest linear.pfotest
linear_adap_going_up linear.adap_going_up
linear_enc_channel linear.motor.enc_channel
linear_disp linear.motor.disp
linear_devfrc linear.motor.devfrc
linear_xform linear.motor.xform
linear_volts linear.motor.volts
linear_test_volts linear.motor.test_volts
linear_ao_channel linear.motor.ao_channel
linear_limit_volts linear.motor.limit_volts
linear_limit_channel linear.motor.limit_channel
have_linear have_linear
linear_pos linear.pos
linear_vel linear.vel
linear_fvel linear.fvel
linear_force linear.force
linear_force_bias linear.force_bias
linear_offset linear.offset
linear_ref_pos linear.ref_pos
linear_back linear.back
linear_norm linear.norm
linear_gear_ratio linear.gears.ratio
linear_uei_ao_board_handle linear.uei_ao_board_handle
hand_stiff hand.stiff
hand_damp hand.damp
hand_pfomax hand.pfomax
hand_pfotest hand.pfotest
hand_adap_going_up hand.adap_going_up
hand_enc_channel hand.motor.enc_channel
hand_disp hand.motor.disp
hand_devfrc hand.motor.devfrc
hand_xform hand.motor.xform
hand_volts hand.motor.volts
hand_test_volts hand.motor.test_volts
hand_ao_channel hand.motor.ao_channel
hand_limit_volts hand.motor.limit_volts
hand_limit_channel hand.motor.limit_channel
have_hand have_hand
hand_pos hand.pos
hand_vel hand.vel
hand_fvel hand.fvel
hand_force hand.force
hand_grasp hand.grasp
hand_force_bias hand.force_bias
hand_offset hand.offset
hand_ref_pos hand.ref_pos
hand_gear_ratio hand.gears.ratio
hand_gear_xform hand.gears.xform
hand_gear_offset hand.gears.offset
hand_uei_ao_board_handle hand.uei_ao_board_handle
ain_bias_comp ain_bias_comp
ain_cfg ain_cfg
ain_got_samples ain_got_samples
ain_ret ain_ret
n_ueidaq_boards n_ueidaq_boards
uei_board uei_board
busy busy
curl curl
damp damp
const_force_x const_force.x
const_force_y const_force.y
debug_level debug_level
quit quit
doinit doinit
didinit didinit
butcutoff butcutoff
ddfifo ddfifo
cififo cififo
dififo dififo
dofifo dofifo
eofifo eofifo
fifolen fifolen
tcfifo tcfifo
ntickfifo ntickfifo
s_torque motor_torque.s
e_torque motor_torque.e
s_volts motor_volts.s
e_volts motor_volts.e
link_s link.s
link_e link.e
have_planar have_planar
have_tach have_tach
have_ft have_ft
have_isaft have_isaft
have_grasp have_grasp
have_accel have_accel
have_planar_incenc have_planar_incenc
have_planar_ao8 have_planar_ao8
Hz Hz
i i
fasti fasti
fastHz fastHz
fastirate fastirate
fastrate fastrate
ovsample ovsample
irate irate
disp disp[0] 32
ndisp ndisp
log log 32
nlog nlog
logfnid logfnid
refin refin 32
nref nref
reffnid reffnid
offset_x offset.x
offset_y offset.y
paused paused
fault fault
stiffener stiffener
stiff_delta stiff_delta
no_motors no_motors
pi pi
pfomax pfomax
pfotest pfotest
rate rate
restart_damp restart.damp
restart_go restart.go
restart_Hz restart.Hz
restart_ovsample restart.ovsample
restart_stiff restart.stiff
no_safety_check safety.override
safety_damping_nms safety.damping_nms
safety_pos safety.pos
safety_torque safety.torque
safety_ramp safety.ramp
safety_vel safety.vel
safety_planar_just_crossed_back safety.planar_just_crossed_back
safety_was_planar_damping safety.was_planar_damping
safety_damp_ret_ticks safety.damp_ret_ticks
safety_damp_ret_secs safety.damp_ret_secs
samplenum samplenum
vibrate vibrate
xvibe xvibe
yvibe yvibe
test_raw_torque test_raw_torque
raw_torque_volts_s raw_torque_volts.s
raw_torque_volts_e raw_torque_volts.e
sin_amplitude sin_amplitude
sin_period sin_period
sin_which_motor sin_which_motor
sim_sensors sim.sensors
sim_pos_x sim.pos.x
sim_pos_y sim.pos.y
sim_wr_pos_fe sim.wr_pos.fe
sim_wr_pos_ps sim.wr_pos.ps
sim_wr_pos_aa sim.wr_pos.aa
sim_vel_x sim.vel.x
sim_vel_y sim.vel.y
sim_wr_vel_fe sim.wr_vel.fe
sim_wr_vel_ps sim.wr_vel.ps
sim_wr_vel_aa sim.wr_vel.aa
slot_id copy_slot.id
slot_i copy_slot.i
slot_incr copy_slot.incr
slot_term copy_slot.term
slot_termi copy_slot.termi
slot_b0_x copy_slot.b0.point.x
slot_b0_y copy_slot.b0.point.y
slot_b0_w copy_slot.b0.w
slot_b0_h copy_slot.b0.h
slot_b1_x copy_slot.b1.point.x
slot_b1_y copy_slot.b1.point.y
slot_b1_w copy_slot.b1.w
slot_b1_h copy_slot.b1.h
slot_fnid copy_slot.fnid
slot_rot copy_slot.rot
slot_go copy_slot.go
slot_running copy_slot.running
slot_max slot_max
slot0_id slot[0].id
slot0_i slot[0].i
slot0_incr slot[0].incr
slot0_term slot[0].term
slot0_termi slot[0].termi
slot0_b0_x slot[0].b0.point.x
slot0_b0_y slot[0].b0.point.y
slot0_b0_w slot[0].b0.w
slot0_b0_h slot[0].b0.h
slot0_b1_x slot[0].b1.point.x
slot0_b1_y slot[0].b1.point.y
slot0_b1_w slot[0].b1.w
slot0_b1_h slot[0].b1.h
slot0_bcur_x slot[0].bcur.point.x
slot0_bcur_y slot[0].bcur.point.y
slot0_bcur_w slot[0].bcur.w
slot0_bcur_h slot[0].bcur.h
slot0_fnid slot[0].fnid
slot0_rot slot[0].rot
slot0_running slot[0].running
slot0_go slot[0].go
slot1_b0_x slot[1].b0.point.x
slot1_b0_y slot[1].b0.point.y
slot1_b0_w slot[1].b0.w
slot1_b0_h slot[1].b0.h
pm_active_power pm.active_power
pm_min_jerk_deviation pm.min_jerk_deviation
pm_min_jerk_dgraph pm.min_jerk_dgraph
pm_dist_straight_line pm.dist_straight_line
pm_max_dist_along_axis pm.max_dist_along_axis
pm_npoints pm.npoints
pm_five_d pm.five_d
scr scr[0]
scr0 scr[0]
scr1 scr[1]
scr2 scr[2]
scr3 scr[3]
scr4 scr[4]
scr5 scr[5]
scr6 scr[6]
scr7 scr[7]
game game[0]
dienc m_dienc[0][0]
dienc_vel dienc_vel[0]
dienc_accel dienc_accel[0]
diovs diovs
dout_buf m_dout_buf[0]
dout0 dout0
dout1 dout1
adc m_adc[0][0]
dac m_dac[0][0]
adcvolts m_adcvolts[0][0]
adcmean m_adcvoltsmean[0][0]
adcmed m_adcvoltsmed[0][0]
dacvolts m_dacvolts[0][0]
distat distat[0]
ft_flip ft.flip
ft_vert ft.vert
ft_dobias ft.dobias
ft_offset ft.offset
ft_channel ft.channel
ft_raw ft.raw
ft_curr ft.curr
ft_prev ft.prev
ft_filt ft.filt
ft_sg ft.sg
ft_prevf ft.prevf
ft_xworld ft.world.x
ft_yworld ft.world.y
ft_zworld ft.world.z
ft_xdev ft.dev.x
ft_ydev ft.dev.y
ft_zdev ft.dev.z
ft_xmoment ft.moment.x
ft_ymoment ft.moment.y
ft_zmoment ft.moment.z
ft_xymag ft.xymag
ft_cal ft.cal
ft_scale ft.scale
ft_bias ft.bias
ft_cooked ft.cooked
ft_avg ft.avg
ft_sghist0 ft.sghist[0][0]
ft_cal01 ft.cal[0][1]
ft_cal10 ft.cal[1][0]
ft_cal11 ft.cal[1][1]
isaft_cpf isaft.cpf
isaft_cpt isaft.cpt
isaft_iraw isaft.iraw
